Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Australia and Oceania,Tuvalu,Baby Food,Offline,H,2010-05-28 00:00:00,669165933,2010-06-27 00:00:00,9925,255.28,159.42,2533654.0,1582243.5,951410.5
Central America and the Caribbean,Grenada,Cereal,Online,C,2012-08-22 00:00:00,963881480,2012-09-15 00:00:00,2804,205.7,117.11,576782.8,328376.44,248406.36
Europe,Russia,Office Supplies,Offline,L,2014-05-02 00:00:00,341417157,2014-05-08 00:00:00,1779,651.21,524.96,1158502.59,933903.84,224598.75
Sub-Saharan Africa,Sao Tome and Principe,Fruits,Online,C,2014-06-20 00:00:00,514321792,2014-07-05 00:00:00,8102,9.33,6.92,75591.66,56065.84,19525.82
Sub-Saharan Africa,Rwanda,Office Supplies,Offline,L,2013-02-01 00:00:00,115456712,2013-02-06 00:00:00,5062,651.21,524.96,3296425.02,2657347.52,639077.5
Australia and Oceania,Solomon Islands,Baby Food,Online,C,2015-02-04 00:00:00,547995746,2015-02-21 00:00:00,2974,255.28,159.42,759202.72,474115.08,285087.64
Sub-Saharan Africa,Angola,Household,Offline,M,2011-04-23 00:00:00,135425221,2011-04-27 00:00:00,4187,668.27,502.54,2798046.49,2104134.98,693911.51
Sub-Saharan Africa,Burkina Faso,Vegetables,Online,H,2012-07-17 00:00:00,871543967,2012-07-27 00:00:00,8082,154.06,90.93,1245112.92,734896.26,510216.66
Sub-Saharan Africa,Republic of the Congo,Personal Care,Offline,M,2015-07-14 00:00:00,770463311,2015-08-25 00:00:00,6070,81.73,56.67,496101.1,343986.9,152114.2
Sub-Saharan Africa,Senegal,Cereal,Online,H,2014-04-18 00:00:00,616607081,2014-05-30 00:00:00,6593,205.7,117.11,1356180.1,772106.23,584073.87
Asia,Kyrgyzstan,Vegetables,Online,H,2011-06-24 00:00:00,814711606,2011-07-12 00:00:00,124,154.06,90.93,19103.44,11275.32,7828.12
Sub-Saharan Africa,Cape Verde,Clothes,Offline,H,2014-08-02 00:00:00,939825713,2014-08-19 00:00:00,4168,109.28,35.84,455479.04,149381.12,306097.92
Asia,Bangladesh,Clothes,Online,L,2017-01-13 00:00:00,187310731,2017-03-01 00:00:00,8263,109.28,35.84,902980.64,296145.92,606834.72
Central America and the Caribbean,Honduras,Household,Offline,H,2017-02-08 00:00:00,522840487,2017-02-13 00:00:00,8974,668.27,502.54,5997054.98,4509793.96,1487261.02
Asia,Mongolia,Personal Care,Offline,C,2014-02-19 00:00:00,832401311,2014-02-23 00:00:00,4901,81.73,56.67,400558.73,277739.67,122819.06
Europe,Bulgaria,Clothes,Online,M,2012-04-23 00:00:00,972292029,2012-06-03 00:00:00,1673,109.28,35.84,182825.44,59960.32,122865.12
Asia,Sri Lanka,Cosmetics,Offline,M,2016-11-19 00:00:00,419123971,2016-12-18 00:00:00,6952,437.2,263.33,3039414.4,1830670.16,1208744.24
Sub-Saharan Africa,Cameroon,Beverages,Offline,C,2015-04-01 00:00:00,519820964,2015-04-18 00:00:00,5430,47.45,31.79,257653.5,172619.7,85033.8
Asia,Turkmenistan,Household,Offline,L,2010-12-30 00:00:00,441619336,2011-01-20 00:00:00,3830,668.27,502.54,2559474.1,1924728.2,634745.9
Australia and Oceania,East Timor,Meat,Online,L,2012-07-31 00:00:00,322067916,2012-09-11 00:00:00,5908,421.89,364.69,2492526.12,2154588.52,337937.6
Europe,Norway,Baby Food,Online,L,2014-05-14 00:00:00,819028031,2014-06-28 00:00:00,7450,255.28,159.42,1901836.0,1187679.0,714157.0
Europe,Portugal,Baby Food,Online,H,2015-07-31 00:00:00,860673511,2015-09-03 00:00:00,1273,255.28,159.42,324971.44,202941.66,122029.78
Central America and the Caribbean,Honduras,Snacks,Online,L,2016-06-30 00:00:00,795490682,2016-07-26 00:00:00,2225,152.58,97.44,339490.5,216804.0,122686.5
Australia and Oceania,New Zealand,Fruits,Online,H,2014-09-08 00:00:00,142278373,2014-10-04 00:00:00,2187,9.33,6.92,20404.71,15134.04,5270.67
Europe,Moldova ,Personal Care,Online,L,2016-05-07 00:00:00,740147912,2016-05-10 00:00:00,5070,81.73,56.67,414371.1,287316.9,127054.2
Europe,France,Cosmetics,Online,H,2017-05-22 00:00:00,898523128,2017-06-05 00:00:00,1815,437.2,263.33,793518.0,477943.95,315574.05
Australia and Oceania,Kiribati,Fruits,Online,M,2014-10-13 00:00:00,347140347,2014-11-10 00:00:00,5398,9.33,6.92,50363.34,37354.16,13009.18
Sub-Saharan Africa,Mali,Fruits,Online,L,2010-05-07 00:00:00,686048400,2010-05-10 00:00:00,5822,9.33,6.92,54319.26,40288.24,14031.02
Europe,Norway,Beverages,Offline,C,2014-07-18 00:00:00,435608613,2014-07-30 00:00:00,5124,47.45,31.79,243133.8,162891.96,80241.84
Sub-Saharan Africa,The Gambia,Household,Offline,L,2012-05-26 00:00:00,886494815,2012-06-09 00:00:00,2370,668.27,502.54,1583799.9,1191019.8,392780.1
Europe,Switzerland,Cosmetics,Offline,M,2012-09-17 00:00:00,249693334,2012-10-20 00:00:00,8661,437.2,263.33,3786589.2,2280701.13,1505888.07
Sub-Saharan Africa,South Sudan,Personal Care,Offline,C,2013-12-29 00:00:00,406502997,2014-01-28 00:00:00,2125,81.73,56.67,173676.25,120423.75,53252.5
Australia and Oceania,Australia,Office Supplies,Online,C,2015-10-27 00:00:00,158535134,2015-11-25 00:00:00,2924,651.21,524.96,1904138.04,1534983.04,369155.0
Asia,Myanmar,Household,Offline,H,2015-01-16 00:00:00,177713572,2015-03-01 00:00:00,8250,668.27,502.54,5513227.5,4145955.0,1367272.5
Sub-Saharan Africa,Djibouti,Snacks,Online,M,2017-02-25 00:00:00,756274640,2017-02-25 00:00:00,7327,152.58,97.44,1117953.66,713942.88,404010.78
